VIDEO EDITING GUIDE — THE ANCIENT BRAIN
"What Happens to the Human Brain During Total Darkness"
Total Runtime: 529 seconds (8:49) | 264 Images | ~2 seconds per image
========================================================================================================================

IMG #   TIME IN   TIME OUT   SEC   AUDIO / SCRIPT CONTENT                                            TRANSITION  
------------------------------------------------------------------------------------------------------------------------

── SECTION 1: HOOK & OPENING (0:00–1:00) ──

1       0:00      0:02       2     [SILENCE / MUSIC BEGINS] No voiceover — opening black frame       Hard Cut    
2       0:02      0:04       2     [SILENCE / MUSIC] Darkness atmosphere — no words yet              Hard Cut    
3       0:04      0:06       2     "What happens to the human brain in total darkness?"              Hard Cut    
4       0:06      0:08       2     "What happens to the human brain in total darkness?"              Hard Cut    
5       0:08      0:10       2     "Imagine this."                                                   Hard Cut    
6       0:10      0:12       2     "You are placed in a room. No windows. No clocks."                Hard Cut    
7       0:12      0:14       2     "No light at all."                                                Hard Cut    
8       0:14      0:16       2     "Absolute darkness."                                              Hard Cut    
9       0:16      0:18       2     "Three days. No light. What happens to your brain?"               Hard Cut    
10      0:18      0:20       2     "Scientists ran this experiment — and what they found changed...  Hard Cut    
11      0:20      0:22       2     "Your circadian rhythm collapses."                                Hard Cut    
12      0:22      0:24       2     "Your brain starts hallucinating."                                Hard Cut    
13      0:24      0:26       2     "The results changed how we understand human consciousness."      Hard Cut    
14      0:26      0:28       2     "But first — your brain has a clock."                             Hard Cut    
15      0:28      0:30       2     "A precise, ancient, biological clock."                           Hard Cut    
16      0:30      0:32       2     "Every night when you sleep, it is running."                      Hard Cut    
17      0:32      0:34       2     "Deep inside your brain is a structure called the SCN —"          Hard Cut    
18      0:34      0:36       2     "the suprachiasmatic nucleus."                                    Hard Cut    
19      0:36      0:38       2     "It sits in your hypothalamus — about the size of a grain of ...  Hard Cut    
20      0:38      0:40       2     "Twenty thousand neurons. All firing in sync."                    Hard Cut    
21      0:40      0:42       2     "Every morning, it receives a signal."                            Hard Cut    
22      0:42      0:44       2     "Light. Natural sunlight entering your eyes."                     Hard Cut    
23      0:44      0:46       2     "That signal resets your 24-hour clock — every single day."       Hard Cut    
24      0:46      0:48       2     "Light in. Signal sent. Hormones adjust. Clock resets."           Hard Cut    
25      0:48      0:50       2     "Remove the light — and ask what happens next."                   Hard Cut    
26      0:50      0:52       2     "Your internal clock keeps running — but with nothing to rese...  Hard Cut    
27      0:52      0:54       2     "The 24-hour rhythm begins to drift."                             Hard Cut    
28      0:54      0:56       2     "And that drift is where everything begins to unravel."           Hard Cut    
29      0:56      0:58       2     "Because your body doesn't know when to be awake or asleep."      Hard Cut    
30      0:58      1:00       2     "Without light — nothing works the way it should."                Hard Cut    

── SECTION 2: CIRCADIAN CLOCK (1:00–2:00) ──

31      1:00      1:02       2     "Hour one. You notice nothing wrong."                             Hard Cut    
32      1:02      1:04       2     "But melatonin — your sleep hormone — begins rising."             Hard Cut    
33      1:04      1:06       2     "Your SCN is already confused. It fires the sleep signal too ...  Hard Cut    
34      1:06      1:08       2     "By hour six — melatonin surges."                                 Hard Cut    
35      1:08      1:10       2     "Your core body temperature begins to drop."                      Hard Cut    
